"E1" "N2" "RA3" "C4" "N5" "RE6" "O7" "A8" "A9" "RC10" "RN11" "O12" "E13" "C14" "RA15" "E16" "N17" "N18" "O19" "O20" "A21" "RC22" "N23" "RE24" "A25" "RC26" "RN27" "O28" "O29" "E30" "RA31" "O32" "C33" "RN34" "RE35" "RA36" "A37" "C38" "RO39" "E40" "C41" "RC42" "O43" "O44" "Satisfaction" "Score"
"234" 6 1 6 7 1 3 1 5 7 7 3 6 2 7 6 5 2 7 5 5 7 7 NA 3 6 7 4 7 5 5 7 7 7 1 NA 3 6 7 1 7 7 3 7 3 86 1065.59650581896
"91" 5 2 7 6 1 4 6 5 6 7 2 3 5 6 7 6 1 1 6 6 6 5 6 4 4 7 3 5 6 6 4 5 6 3 4 7 5 5 4 5 5 4 5 3 96 1053.98028973851
"155" 1 1 7 6 1 1 5 6 6 3 2 7 6 7 7 1 6 1 7 7 6 7 7 2 5 7 1 7 7 6 2 4 7 1 2 7 7 7 6 7 6 6 6 4 3 40.8159500531402
"6" 7 6 4 6 6 7 7 7 7 2 2 4 6 7 4 7 7 1 7 7 7 1 6 7 7 7 1 7 6 7 1 6 7 1 1 7 7 7 7 7 6 1 7 7 77 748.293043568022
"18" 1 3 7 7 2 1 5 7 7 6 1 2 6 7 7 6 1 2 6 5 7 6 6 1 7 7 1 7 1 7 3 7 7 1 6 7 7 6 5 6 6 7 7 6 4 53.740231851932
"281" 6 6 4 6 4 6 4 5 6 5 5 6 5 7 2 5 5 6 6 4 5 4 5 3 5 4 3 5 4 4 4 5 6 2 6 7 4 4 3 4 4 6 5 5 86 859.760385592428
"64" 4 3 6 3 1 3 4 5 6 5 3 4 5 5 7 5 2 2 6 4 5 6 5 3 4 7 3 5 4 4 4 4 5 4 4 7 1 4 5 4 5 5 4 4 56 561.090886065112
"277" 7 3 2 6 2 6 4 7 11 6 2 5 6 6 2 5 4 2 3 4 5 4 4 7 6 6 4 3 3 5 6 4 6 4 6 6 6 5 4 6 5 4 4 4 29 314.629881044959
"63" 1 1 7 7 1 1 7 7 7 6 1 4 7 5 6 7 2 1 7 6 7 6 5 4 2 7 1 6 4 4 4 3 7 1 2 7 7 7 4 4 7 6 7 3 93 1138.87629729024
"122" 4 2 5 6 2 2 6 6 7 5 1 7 6 6 5 4 5 3 6 6 6 6 5 4 2 6 2 7 6 6 2 7 7 1 2 4 6 7 6 4 6 5 6 7 53 619.800232207525
"181" 5 1 6 6 1 7 6 4 5 5 3 2 6 7 6 5 3 1 6 6 5 6 7 5 2 7 5 5 5 5 4 5 6 3 7 7 6 6 6 5 7 5 6 4 63 746.005843370113
"3" 4 6 5 2 4 4 7 7 7 3 4 5 7 6 4 7 6 7 2 7 4 3 7 6 5 1 1 6 4 3 5 3 7 1 4 6 5 7 2 7 7 3 4 3 82 716.269232325482
"227" 5 6 7 6 2 1 6 6 6 3 7 7 6 7 6 2 7 1 6 4 7 3 6 2 6 6 6 4 4 1 3 3 6 2 1 7 6 6 1 1 7 6 3 1 53 562.603283720355
"97" 4 4 5 7 1 1 6 6 7 7 4 4 6 7 6 6 4 1 6 6 3 1 4 2 7 7 3 7 6 6 7 6 7 5 4 4 6 1 7 5 5 7 6 5 68 724.463137602457
"58" 7 7 6 7 1 4 7 7 7 6 1 6 7 7 5 7 2 7 7 7 4 7 6 7 6 7 2 7 6 6 6 7 7 1 7 6 6 6 3 7 6 7 6 7 89 1126.10336570453
"172" 4 1 6 6 1 2 7 7 7 7 1 6 7 7 7 7 1 1 7 7 6 6 5 4 5 7 1 7 7 7 6 6 7 1 6 7 7 7 7 6 6 7 6 6 35 450.797310158965
"135" 3 5 5 6 1 2 7 6 5 3 3 2 5 7 6 5 4 4 7 7 7 4 5 5 5 7 4 7 7 6 7 7 7 2 6 6 7 6 6 7 2 7 7 4 38 406.526149239743
"95" 6 2 5 6 4 4 7 6 7 4 3 6 7 6 6 6 6 1 6 7 2 6 6 2 6 6 4 7 6 6 6 6 4 2 6 6 6 6 7 6 6 2 6 5 60 610.32994768061
"68" 3 1 6 6 4 2 6 4 7 2 1 4 6 7 7 5 2 1 5 3 2 6 2 2 5 7 2 5 4 7 5 7 7 2 5 7 6 5 6 7 7 5 1 5 73 822.748271446704
"246" 7 1 7 7 2 7 4 7 7 7 7 7 6 7 4 4 5 5 1 4 3 7 4 7 7 7 4 5 7 7 7 2 7 1 7 7 7 7 4 3 7 7 4 1 76 997.508741884228
"239" 5 2 4 7 2 5 6 6 7 2 2 7 6 7 2 6 3 2 4 4 5 6 3 3 6 6 2 6 4 5 5 5 7 3 5 4 4 5 3 5 5 4 5 5 13 155.203049382498
"169" 4 1 6 6 2 3 4 4 5 6 3 5 5 5 5 4 3 4 5 4 3 6 6 2 4 6 4 6 5 5 2 4 7 4 5 6 4 5 6 3 4 6 6 3 56 618.826143284991
"82" 7 2 7 5 1 5 7 6 7 6 2 5 6 7 7 7 3 3 7 6 7 6 6 7 5 7 1 7 6 6 3 3 7 2 5 7 7 7 5 7 6 5 5 2 12 153.2340674165
