iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
COL,South America,Colombia,2020-11-01,1083321,9137,9633.714,31515,201,194.429,20883.688,176.138,185.714,607.529,3.875,3.748,1.06,,,,,,,,,5076031,45575,98.532,0.885,48876,0.949,0.19,5.3,tests performed,,,,,,,,,,,,,,65.74,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,39255.2,18.95,30.95,756.740926307091
COL,South America,Colombia,2020-11-02,1093256,9935,9743.429,31653,138,186.429,21075.209,191.522,187.829,610.19,2.66,3.594,1.04,,,,,,,,,5106986,30955,99.133,0.601,47895,0.93,0.191,5.2,tests performed,,,,,,,,,,,,,,65.74,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,,,,
COL,South America,Colombia,2020-11-03,1099392,6136,9453.429,31847,194,183.143,21193.496,118.287,182.238,613.93,3.74,3.531,1.01,,,,,,,,,5145037,38051,99.872,0.739,46429,0.901,0.191,5.2,tests performed,,,,,,,,,,,,,,65.74,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,,,,
COL,South America,Colombia,2020-11-04,1108086,8694,9450.143,32013,166,180,21361.094,167.598,182.175,617.13,3.2,3.47,1,,,,,,,,,5195722,50685,100.855,0.984,46669,0.906,0.192,5.2,tests performed,,,,,,,,,,,,,,65.74,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,,,,
COL,South America,Colombia,2020-11-05,1117977,9891,9265,32209,196,183.286,21551.768,190.673,178.606,620.908,3.778,3.533,0.99,,,,,,,,,5238557,42835,101.687,0.831,45184,0.877,0.194,5.2,tests performed,,,,,,,,,,,,,,65.74,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,,,,
COL,South America,Colombia,2020-11-06,1127733,9756,9226,32405,196,181.429,21739.839,188.071,177.854,624.686,3.778,3.497,0.97,,,,,,,,,5300983,62426,102.899,1.212,46797,0.908,0.194,5.2,tests performed,,,,,,,,,,,,,,65.74,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,,,,
COL,South America,Colombia,2020-11-07,1136447,8714,8894.714,32595,190,183,21907.823,167.984,171.468,628.349,3.663,3.528,0.96,,,,,,,,,5349515,48532,103.841,0.942,45580,0.885,0.195,5.1,tests performed,,,,,,,,,,,,,,65.74,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,,,,
COL,South America,Colombia,2020-11-08,1143887,7440,8652.286,32791,196,182.286,22051.247,143.424,166.794,632.128,3.778,3.514,0.95,,,,,,,,,5382322,32807,104.478,0.637,43756,0.849,0.197,5.1,tests performed,,,,,,,,,,,,,,65.74,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,40861.7,19.29,34.22,787.710181287638
COL,South America,Colombia,2020-11-09,1149064,5177,7972.571,32974,183,188.714,22151.046,99.799,153.691,635.655,3.528,3.638,0.94,,,,,,,,,5430786,48464,105.418,0.941,46257,0.898,0.195,5.1,tests performed,,,,,,,,,,,,,,65.74,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,,,,
COL,South America,Colombia,2020-11-10,1155356,6292,7994.857,33128,154,183,22272.34,121.294,154.121,638.624,2.969,3.528,0.95,,,,,,,,,5480102,49316,106.376,0.957,47866,0.929,0.192,5.2,tests performed,,,,,,,,,,,,,,65.74,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,,,,
COL,South America,Colombia,2020-11-11,1165326,9970,8177.143,33312,184,185.571,22464.537,192.196,157.635,642.171,3.547,3.577,0.96,,,,,,,,,5528725,48623,107.319,0.944,47572,0.923,0.189,5.3,tests performed,,,,,,,,,,,,,,65.74,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028,,,,
